experiment,k,instance_id,run_id,instance_seed,run_seed,algorithm,variant,budget_ms,time_ms,F,D,tardiness,gap_to_best_pct
budget,16,18,0,21862270,20422342,LNS,full,300.000000,300.015900,3448.000000,634,2814,0.000000
budget,16,18,1,21862270,20423351,LocalSearch,full,300.000000,300.001200,3454.000000,626,2828,0.174014
budget,16,18,1,21862270,20423351,SA,full,300.000000,300.001700,3448.000000,634,2814,0.000000
budget,16,18,1,21862270,20423351,LNS,full,300.000000,300.034700,3454.000000,626,2828,0.174014
budget,16,18,2,21862270,20424360,LocalSearch,full,300.000000,300.001500,3454.000000,626,2828,0.174014
budget,16,18,2,21862270,20424360,SA,full,300.000000,300.001800,3448.000000,634,2814,0.000000
budget,16,18,2,21862270,20424360,LNS,full,300.000000,300.032500,3454.000000,626,2828,0.174014
budget,16,19,0,21862367,20422443,LocalSearch,full,300.000000,300.001500,3053.000000,566,2487,0.131191
budget,16,19,0,21862367,20422443,SA,full,300.000000,300.001800,3131.000000,564,2567,2.689406
budget,16,19,0,21862367,20422443,LNS,full,300.000000,300.025500,3049.000000,572,2477,0.000000
budget,16,19,1,21862367,20423452,LocalSearch,full,300.000000,300.001500,3189.000000,556,2633,4.591669
budget,16,19,1,21862367,20423452,SA,full,300.000000,300.001600,3049.000000,572,2477,0.000000
budget,16,19,1,21862367,20423452,LNS,full,300.000000,300.021700,3049.000000,572,2477,0.000000
budget,16,19,2,21862367,20424461,LocalSearch,full,300.000000,300.001600,3069.000000,546,2523,0.655953
budget,16,19,2,21862367,20424461,SA,full,300.000000,300.001600,3067.000000,554,2513,0.590357
budget,16,19,2,21862367,20424461,LNS,full,300.000000,300.022500,3049.000000,572,2477,0.000000
budget,24,0,0,22660524,20500524,LocalSearch,full,300.000000,300.001900,4861.000000,606,4255,1.376434
budget,24,0,0,22660524,20500524,SA,full,300.000000,300.002100,4795.000000,602,4193,0.000000
budget,24,0,0,22660524,20500524,LNS,full,300.000000,300.029000,4911.000000,602,4309,2.419187
